"Status","ID","Tournament Name","Organizer","Title Sponsor","Start Date","End Date","Reg Deadline","State","Venue","Entry Fee (RM) per team","Prize Pool (RM)","Cash Prize (RM)","Merch Value (RM)","Prize Pool Note","Skill Level","Event Type","Age Group","Pick Priority","Editorial Angle","Format Note","Player Note","Source Platform","Registration URL","Date Added","Last Checked","Notes"
"","MTPB-0091","Mentakab & Raub District Qualifier — Pahang Pickleball Championship 2026","Pahang Pickleball Association","O'bon","25-Jul-2026","25-Jul-2026","23-Jul-2026","Pahang","The Pickle Zone, Mentakab, Temerloh, Pahang","TBC (tiered per pair, image only)","","","","Qualifier podium cash vouchers RM300/200/100. Main prizes + medals only at Grand Tournament (Kuantan 188, 31-Jul to 2-Aug). U19 winners get RM1,000 training scholarship.","Novice <3, Intermediate <3.5, Open","Men's Doubles, Women's Doubles, Mixed Doubles","U19","","","District qualifier (1 of 2) feeding the Grand Tournament at Kuantan 188, 31-Jul–2-Aug. 5 categories. DUPR rating-integrity rules; Novice = <4 months playing.","Reg fee covers qualifier + grand main bracket (charged once). Goodie bag for all. Strict no-refund policy.","Baseline","https://baseline.my/tournaments/1274f068-be09-4fec-9a9d-7f348ed93cdf","22-Jul-2026","22-Jul-2026","VERIFIED at Baseline 22-Jul. Deadline is TOMORROW (23-Jul). Fee table is an image on the page — check before publishing. 18 teams joined."
"","MTPB-0092","Kuantan & Pekan District Qualifier — Pahang Pickleball Championship 2026","Pahang Pickleball Association","O'bon","26-Jul-2026","26-Jul-2026","24-Jul-2026","Pahang","Pickle Sky IM, Bandar Indera Mahkota, Kuantan, Pahang","TBC (tiered per pair, image only)","","","","Qualifier podium cash vouchers RM300/200/100. Main prizes at Grand Tournament (Kuantan 188, 31-Jul to 2-Aug). U19 winners get RM1,000 training scholarship.","Novice <3, Intermediate <3.5, Open","Men's Doubles, Women's Doubles, Mixed Doubles","U19","","","District qualifier (2 of 2) feeding the Grand Tournament at Kuantan 188, 31-Jul–2-Aug. 5 categories.","Reg fee covers qualifier + grand main bracket (charged once). Goodie bag for all.","Baseline","https://baseline.my/tournaments/66780858-e6ec-4db4-a775-78d9ed22ec7f","22-Jul-2026","22-Jul-2026","VERIFIED at Baseline 22-Jul. Deadline 24-Jul (2 days). A separate 'Kuantan District Qualifier' Baseline listing is marked [MOVED] — merged into this one. 6 teams joined."
"","MTPB-0093","PPA Asia 125 Malaysia Tomaz Cup","MSPL Sports x Tomaz Pickleball Club","PPA Asia","27-Aug-2026","31-Aug-2026","20-Aug-2026","Klang Valley","Tomaz Pickleball Club, USJ 1, Subang Jaya","TBC (amateur fee table is image; Pro reg separate)","TBC","","","Prize pool shown as images on Baseline page (Amateur + Pro) — not machine-readable. Verify amounts before publishing.","Pro + Amateur (all levels)","ALL","U18 categories exist (parental consent form)","","","Pro divisions: UPA-A paddles, best-of-3 to 11 traditional scoring, PPA Tour leaderboard points; division champs qualify for a PPA Asia 500. Amateur: Rally Malaysia scoring, 25 categories on Baseline.","Pro reg via pickleballtournaments.com/tournaments/ppa-asia-125-malaysia-tomaz-cup; Baseline handles Amateur only. 409 teams already joined (22-Jul).","Baseline","https://my.baseline.live/tournaments/5464269f-80f1-4c06-8d50-b31d29011e3b","22-Jul-2026","22-Jul-2026","VERIFIED at Baseline 22-Jul. Inaugural PPA Asia 125 in Malaysia — strong THE PICK candidate for the August drop. Not listed on ThePickleBase aggregator."
"","MTPB-0094","Pickle Nova Championship 2026 (Team)","Pickle Nova","","26-Sep-2026","27-Sep-2026","18-Sep-2026","Perak","Pickle Nova Taiping","TBC (bundle: Intermediate + Open teams RM1,300 early bird)","30,000","30,000","","RM30,000 total prize pool across Intermediate + Open team championships.","Intermediate (combined DUPR ≤14), Open (combined DUPR ≤18)","Team Event","","","","Team format: MD + WD + XD + Dreambreaker. Two divisions. Official jersey + accommodation partner (Cozytainer).","Bundle promo: register 1 Intermediate + 1 Open team (min 2 common players) for RM1,300 early bird, saving RM100.","Baseline","https://my.baseline.live/tournaments/3ccdea5e-f9bf-44c4-beb7-823e2daa4988","22-Jul-2026","22-Jul-2026","VERIFIED at Baseline 22-Jul. NOTE: same Baseline URL as MTPB-0064 (Jul 4-5 event) — organizer repurposed the listing for the new Sep edition. Per-team fee not shown in text — verify."
"","MTPB-0095","Pickleball Melaka Open 2026","TBC","","1-Aug-2026","1-Aug-2026","24-Jul-2026","Melaka","Melaka (venue TBC)","50–250","11,000","","","RM11,000 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/309","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; Sportssync unreachable this session (Exa unavailable). Verify at sportssync.asia/tournament/309. Deadline 24-Jul — urgent."
"","MTPB-0096","Interstate Charity Master Cup 2026 (Selangor)","TBC","","1-Aug-2026","1-Aug-2026","30-Jul-2026","Klang Valley","Selangor (venue TBC)","280","30,000","","","RM30,000 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/321","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/321. Charity event, interstate series."
"","MTPB-0097","CPC X ZURA SPORT Minitour Men's Double Combine <5.5 (MD801)","CPC","Zura Sport","1-Aug-2026","1-Aug-2026","1-Aug-2026","Klang Valley","Kuala Lumpur (venue TBC — likely Hyprground Kuchai Lama per CPC series)","108","1,852","","","RM1,852 total per aggregator listing.","Novice <3 (combined DUPR <5.5)","Men's Doubles","","","","CPC minitour series — same organizer as MTPB-0080 CPC x Franklin.","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/325","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/325. Same-day reg deadline."
"","MTPB-0098","Hawk Shark Challenger Series 2026","Hawk Shark Sports Club","","8-Aug-2026","29-Aug-2026","6-Aug-2026","⚠️ TBC","Hawk Shark Sports Club","218","17,670","","","RM17,670 total per aggregator listing.","TBC","TBC","","","","Multi-week series (8–29 Aug).","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/310","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/310. Venue state unconfirmed — verify Hawk Shark Sports Club location."
"","MTPB-0099","YYC x Xero Pickle Open","YYC","Xero","15-Aug-2026","16-Aug-2026","9-Aug-2026","Klang Valley","The Hood, Kuala Lumpur","197–198","42,600","","","RM42,600 total per aggregator listing.","Intermediate, Advanced (combined DUPR 5.5 and 6.5 brackets)","Men's Doubles, Women's Doubles, Mixed Doubles","","","","6 divisions: MD/WD/XD at combined DUPR 5.5 and 6.5. DUPR-rated.","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/313","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/313. RM42.6K at The Hood — strong feature candidate once verified."
"","MTPB-0100","LifeTime LT Open Malaysia","LifeTime","","21-Aug-2026","23-Aug-2026","17-Aug-2026","Klang Valley","The Hood, Kuala Lumpur","350","95,500","","","RM95,500 total per aggregator listing.","TBC","TBC","","","","3-day event.","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/328","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/328. RM95.5K — biggest new find; THE PICK candidate for August once verified."
