Status,ID,Tournament Name,Organizer,Title Sponsor,Start Date,End Date,Reg Deadline,State,Venue,Entry Fee (RM) per team,Prize Pool (RM),Cash Prize (RM),Merch Value (RM),Prize Pool Note,Skill Level,Event Type,Age Group,Pick Priority,Editorial Angle,Format Note,Player Note,Source Platform,Registration URL,Date Added,Last Checked,Notes
,MTPB-0111,Paramount Cup 2026 (APP Asia Qualifier),PLAYA Racquet Club,Paramount Property,22-Oct-2026,25-Oct-2026,15-Oct-2026,Klang Valley,"PLAYA Racquet Club @ PARC Subang, Jalan SS12/1 Taman Subang Ria, Subang Jaya, Selangor","RM150–RM360 (varies by category: Novice/Inter/Open doubles RM360, Junior doubles RM300, Open singles RM200, Junior singles RM150)",113760,113760,0,"Junior singles 250/150/80; Junior doubles 500/300/160; Novice doubles 1500/1000/500; Intermediate doubles 2500/1500/800; Open doubles 5000/2500/1200; Open singles 3500/2000/1000; Senior 35+/45+ 4000/2000/1000","Novice ≤2.8, Intermediate ≤3.5, High Intermediate ≤4.2, Open, Junior U10–U16","Men's/Women's/Mixed Doubles, Singles, Junior","U10–U16, 35+, 45+",,,,,Sportssync,https://www.sportssync.asia/tournament/358,24-Aug-2026,24-Aug-2026,APP Asia qualifier — division champs may feed a larger PPA/APP Asia event; verify qualifier structure before publishing.
,MTPB-0112,EGH PICKLEBALL & BIZ Networking Tournament,Eazy,,27-Aug-2026,27-Sep-2026,26-Aug-2026,Penang,"Pickle Lab, Penang",RM45 per player (mixed doubles networking format),2340,2340,0,,Unranked,Mixed Doubles (networking),,,,,,Sportssync,https://www.sportssync.asia/tournament/394,24-Aug-2026,24-Aug-2026,Dates span a full month (27-Aug to 27-Sep) — unusual for a single tournament; verify actual match date(s) before publishing.
,MTPB-0113,Kidsnergy NextGen Series 2026 (Adult),Sports Empire (Vincent Tee),,29-Aug-2026,31-Aug-2026,25-Aug-2026,Klang Valley,Empire Pickle Club,RM268/team (doubles); RM158/player (singles),8900,8900,0,,"Men's Doubles Combine 5.8, Mixed Doubles Combine 5.8, Men's Singles <3.5, Men's Singles <4.5","Men's/Mixed Doubles, Men's Singles",,,,,,Sportssync,https://www.sportssync.asia/tournament/280,24-Aug-2026,24-Aug-2026,Companion Junior register is a separate listing (MTPB-0114) — same venue/dates. Prize totals across the two registration entries may overlap — verify before publishing.
,MTPB-0114,Kidsnergy NextGen Series 2026 (Junior),Sports Empire (Vincent Tee),,29-Aug-2026,31-Aug-2026,25-Aug-2026,Klang Valley,Empire Pickle Club,"RM100/player (Junior singles), RM200/team (Junior doubles), RM158/player (Adult singles), RM268/team (Adult doubles)",16960,16960,0,,Juniors U8–U18 + adult Combine 5.8/singles categories,"Junior Singles, Junior Doubles",U8–U18,,,,,Sportssync,https://www.sportssync.asia/tournament/277,24-Aug-2026,24-Aug-2026,Companion Adult register is a separate listing (MTPB-0113) — same venue/dates. Prize totals across the two registration entries may overlap — verify before publishing.
,MTPB-0115,PRIME 35+ Mini Tournament,Wong Guiling & TFS,,31-Aug-2026,31-Aug-2026,27-Aug-2026,Penang,"Game On Pickle, 188 Jalan Burma, George Town",RM80/team,900,900,0,,35+ Men's Doubles / Mixed Doubles,Men's Doubles/Mixed Doubles,35+,,,,,Sportssync,https://www.sportssync.asia/tournament/371,24-Aug-2026,24-Aug-2026,
,MTPB-0116,P3 Women Doubles Tournament,Tan Meng Sean,P3 Courts,1-Sep-2026,1-Sep-2026,30-Aug-2026,Klang Valley,"P3 Midah, Taman Midah, Kuala Lumpur",RM150/team,1250,1250,0,,Women's Doubles Combined DUPR 6.0,Women's Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/364,24-Aug-2026,24-Aug-2026,
,MTPB-0117,Fila Pickleball Championship Series 2026 — League II,"Jovin Liew, TFS, Then Yung Fatt",Fila,4-Sep-2026,4-Sep-2026,31-Aug-2026,Penang,"Pickle by the Sea, Penang",RM300/team,61200,30600,30600,,"Novice ≤2.799, Intermediate ≤3.299, Advanced ≤3.799, Open","Men's/Women's/Mixed Doubles, Team DUPR 12",,,,,,Sportssync,https://www.sportssync.asia/tournament/352,24-Aug-2026,24-Aug-2026,League format — top 4 per category qualify for the FILA Grand Tournament.
,MTPB-0118,Pinnacle Pickleball Tournament,Tropickle Club,,5-Sep-2026,5-Sep-2026,3-Sep-2026,Klang Valley,"Tropickle Club, Lot 108, Jalan Ampang, Kuala Lumpur",TBC,8300,8300,0,,Unranked (categories not detailed on page),TBC,,,,,,Sportssync,https://www.sportssync.asia/tournament/348,24-Aug-2026,24-Aug-2026,Entry fee and categories not published on page — verify before publishing.
,MTPB-0119,Putrajaya Closed 2026,Putrajaya Pickleball Association (PUPA),,5-Sep-2026,5-Sep-2026,1-Sep-2026,Klang Valley,"11Pikelbola, Danau Golf, UKM Bangi, Selangor",RM80/team (doubles); RM150/team (Team Event),3200,3200,0,,"Men's/Women's/Mixed Doubles DUPR <6.5, Team Event DUPR <12 (invitation only)","Men's/Women's/Mixed Doubles, Team Event",,,,,,Sportssync,https://www.sportssync.asia/tournament/380,24-Aug-2026,24-Aug-2026,"""Closed"" tournament — restricted to Putrajaya residents/workers; verify eligibility before featuring."
,MTPB-0120,BMDAM Golden Jubilee Pickleball Cup 2026,Gary Koah / BMDAM,Protech Sports,5-Sep-2026,5-Sep-2026,29-Aug-2026,Klang Valley,"GPA (Grand Pickleball Arena), Shah Alam",TBC,16020,16020,0,,"Mixed 40+ ≤3.5, Mixed Combined ≤6.0, Men's ≤2.8, Women's ≤2.8","Men's/Women's/Mixed Doubles",40+,,,,,Sportssync,https://www.sportssync.asia/tournament/347,24-Aug-2026,24-Aug-2026,Entry fee not published on page — verify before publishing.
